iter	Passed	Remaining
341	2879	5540
342	2887	5530
343	2894	5520
344	2903	5512
345	2911	5503
346	2919	5494
347	2928	5486
348	2938	5480
349	2947	5473
350	2955	5465
351	2965	5458
352	2975	5453
353	2983	5444
354	2990	5434
355	2998	5423
356	3005	5413
357	3013	5403
358	3020	5393
359	3030	5387
360	3039	5380
361	3049	5373
362	3057	5365
363	3065	5355
364	3072	5344
365	3079	5334
366	3087	5324
367	3094	5315
368	3102	5305
369	3109	5294
370	3117	5284
371	3124	5274
372	3131	5264
373	3139	5254
374	3146	5244
375	3153	5234
376	3160	5223
377	3168	5213
378	3176	5204
379	3183	5194
380	3191	5185
381	3201	5179
382	3212	5175
383	3224	5172
384	3235	5167
385	3244	5160
386	3253	5154
387	3263	5147
388	3274	5143
389	3283	5136
390	3292	5128
391	3300	5119
392	3308	5110
393	3316	5100
394	3325	5093
395	3333	5084
396	3341	5075
397	3350	5068
398	3359	5060
399	3368	5052
400	3376	5044
401	3385	5035
402	3395	5029
403	3402	5020
404	3410	5010
405	3418	5001
406	3426	4992
407	3433	4982
408	3442	4973
409	3449	4963
410	3457	4954
411	3465	4945
412	3472	4936
413	3480	4926
414	3488	4916
415	3495	4907
416	3503	4897
417	3510	4888
418	3518	4879
419	3526	4869
420	3533	4859
421	3540	4849
422	3548	4840
423	3556	4831
424	3564	4822
425	3572	4813
426	3580	4804
427	3588	4795
428	3596	4787
429	3605	4779
430	3614	4772
431	3623	4764
432	3632	4756
433	3641	4749
434	3649	4740
435	3658	4732
436	3666	4723
437	3676	4717
438	3685	4709
439	3693	4700
440	3702	4693
441	3711	4685
442	3721	4679
443	3733	4675
444	3742	4667
445	3751	4660
446	3761	4653
447	3770	4645
448	3778	4637
449	3786	4627
450	3793	4618
451	3801	4609
452	3809	4599
453	3816	4589
454	3823	4580
455	3831	4571
456	3839	4562
457	3847	4553
458	3856	4545
459	3863	4535
460	3871	4526
461	3878	4516
462	3886	4507
463	3894	4498
464	3901	4488
465	3908	4478
466	3915	4468
467	3923	4459
468	3930	4449
469	3937	4440
470	3944	4430
471	3952	4421
472	3963	4416
473	3973	4409
474	3983	4403
475	3993	4395
476	4002	4388
477	4010	4379
478	4018	4370
479	4026	4361
480	4034	4353
481	4042	4344
482	4051	4336
483	4058	4327
484	4066	4318
485	4075	4310
486	4084	4302
487	4091	4292
488	4098	4283
489	4105	4273
490	4112	4263
491	4120	4254
492	4127	4245
493	4135	4235
494	4142	4226
495	4149	4216
496	4156	4206
497	4163	4197
498	4171	4187
499	4178	4178
500	4186	4169
501	4193	4160
502	4201	4151
503	4209	4142
504	4217	4133
505	4226	4125
506	4233	4117
507	4241	4108
508	4248	4098
509	4257	4090
510	4264	4080
511	4271	4071
512	4279	4062
513	4287	4053
514	4295	4044
515	4302	4035
516	4310	4026
517	4318	4018
518	4325	4009
519	4334	4001
520	4342	3992
521	4350	3983
522	4358	3975
523	4366	3966
524	4374	3957
525	4383	3949
526	4390	3940
527	4399	3932
528	4406	3923
529	4414	3914
530	4422	3906
531	4432	3898
532	4439	3889
533	4447	3881
534	4455	3872
535	4463	3864
536	4471	3854
537	4478	3846
538	4486	3837
539	4494	3828
540	4501	3819
541	4510	3811
542	4518	3802
543	4526	3794
544	4534	3785
545	4542	3776
546	4549	3767
547	4557	3759
548	4565	3750
549	4573	3741
550	4581	3733
551	4589	3724
552	4597	3715
553	4609	3710
554	4618	3703
555	4629	3696
556	4640	3690
557	4652	3684
558	4664	3679
559	4675	3673
560	4685	3666
561	4698	3661
562	4708	3654
563	4719	3648
564	4729	3641
565	4739	3634
566	4750	3627
567	4760	3620
568	4771	3614
569	4781	3607
570	4791	3599
571	4802	3593
572	4812	3585
573	4825	3581
574	4835	3573
575	4843	3565
576	4853	3557
577	4862	3550
578	4872	3542
579	4883	3536
580	4893	3528
581	4903	3521
582	4914	3515
583	4924	3508
584	4934	3500
585	4945	3493
586	4954	3486
587	4965	3479
588	4975	3471
589	4986	3465
590	4998	3459
591	5008	3452
592	5019	3445
593	5029	3437
594	5040	3431
595	5051	3424
596	5063	3418
597	5073	3410
598	5082	3402
599	5091	3394
600	5101	3386
601	5110	3378
602	5120	3371
603	5130	3363
604	5139	3355
605	5149	3348
606	5159	3340
607	5170	3333
608	5180	3326
609	5190	3318
610	5201	3311
611	5211	3303
612	5234	3304
613	5243	3296
614	5253	3288
615	5263	3281
616	5272	3272
617	5283	3265
618	5293	3258
619	5302	3249
620	5312	3242
621	5320	3233
622	5328	3224
623	5336	3215
624	5344	3206
625	5352	3197
626	5360	3189
627	5368	3180
628	5377	3171
629	5385	3162
630	5392	3153
631	5400	3144
632	5408	3135
633	5416	3126
634	5424	3117
635	5432	3109
636	5441	3100
637	5448	3091
638	5456	3082
639	5465	3074
640	5473	3065
641	5481	3056
642	5489	3047
643	5497	3039
644	5506	3030
645	5514	3021
646	5521	3012
647	5529	3003
648	5537	2994
649	5545	2986
650	5554	2977
651	5561	2968
652	5569	2959
653	5576	2950
654	5584	2941
655	5592	2932
656	5601	2924
657	5609	2915
658	5616	2906
659	5624	2897
660	5632	2888
661	5641	2880
662	5649	2871
663	5656	2862
664	5664	2853
665	5671	2844
666	5679	2835
667	5688	2827
668	5696	2818
669	5704	2809
670	5711	2800
671	5719	2791
672	5727	2783
673	5735	2773
674	5743	2765
675	5750	2756
676	5758	2747
677	5767	2739
678	5775	2730
679	5782	2721
680	5791	2713
681	5801	2704
682	5809	2696
683	5817	2687
684	5825	2678
685	5832	2669
686	5840	2660
687	5848	2652
688	5856	2643
689	5864	2634
690	5872	2626
691	5879	2617
692	5887	2608
693	5895	2599
694	5902	2590
695	5911	2582
696	5919	2573
697	5927	2564
698	5935	2555
699	5942	2546
700	5950	2538
701	5958	2529
702	5965	2520
703	5974	2512
704	5982	2503
705	5990	2494
706	5997	2485
707	6006	2477
708	6014	2468
709	6022	2459
710	6029	2450
711	6036	2441
712	6044	2433
713	6053	2424
714	6061	2416
715	6069	2407
716	6077	2398
717	6085	2390
718	6094	2381
719	6102	2373
720	6109	2364
721	6117	2355
722	6124	2346
723	6132	2337
724	6140	2329
725	6148	2320
726	6156	2311
727	6163	2302
728	6171	2294
729	6179	2285
730	6187	2276
731	6195	2268
732	6202	2259
733	6210	2250
734	6218	2242
735	6225	2233
736	6233	2224
737	6241	2215
738	6249	2207
739	6257	2198
740	6264	2189
741	6273	2181
742	6281	2172
743	6288	2163
744	6297	2155
745	6305	2146
746	6312	2138
747	6319	2129
748	6327	2120
749	6335	2111
750	6342	2103
751	6351	2094
752	6359	2086
753	6367	2077
754	6375	2068
755	6382	2060
756	6390	2051
757	6398	2042
758	6406	2034
759	6414	2025
760	6423	2017
761	6432	2009
762	6440	2000
763	6447	1991
764	6455	1983
765	6464	1974
766	6473	1966
767	6480	1957
768	6488	1949
769	6496	1940
770	6504	1931
771	6512	1923
772	6521	1914
773	6528	1906
774	6536	1897
775	6543	1888
776	6551	1880
777	6558	1871
778	6566	1862
779	6575	1854
780	6582	1845
781	6590	1837
782	6597	1828
783	6605	1819
784	6613	1811
785	6620	1802
786	6629	1794
787	6637	1785
788	6644	1776
789	6652	1768
790	6660	1759
791	6668	1751
792	6675	1742
793	6684	1734
794	6691	1725
795	6699	1716
796	6707	1708
797	6715	1699
798	6722	1691
799	6731	1682
800	6739	1674
801	6748	1666
802	6758	1658
803	6766	1649
804	6776	1641
805	6787	1633
806	6798	1625
807	6808	1617
808	6818	1609
809	6827	1601
810	6835	1592
811	6843	1584
812	6850	1575
813	6857	1567
814	6865	1558
815	6872	1549
816	6879	1540
817	6886	1532
818	6894	1523
819	6901	1514
820	6908	1506
821	6916	1497
822	6923	1488
823	6930	1480
824	6936	1471
825	6943	1462
826	6951	1454
827	6959	1445
828	6966	1437
829	6976	1429
830	6987	1420
831	6997	1412
832	7006	1404
833	7016	1396
834	7027	1388
835	7037	1380
836	7048	1372
837	7057	1364
838	7066	1355
839	7074	1347
840	7083	1339
841	7091	1330
842	7099	1322
843	7107	1313
844	7117	1305
845	7125	1297
846	7133	1288
847	7141	1280
848	7150	1271
849	7158	1263
850	7169	1255
851	7177	1246
852	7185	1238
853	7193	1229
854	7201	1221
855	7208	1212
856	7215	1204
857	7224	1195
858	7232	1187
859	7240	1178
860	7247	1170
861	7255	1161
862	7262	1152
863	7269	1144
864	7277	1135
865	7284	1127
866	7292	1118
867	7299	1110
868	7307	1101
869	7314	1093
870	7322	1084
871	7331	1076
872	7339	1067
873	7347	1059
874	7355	1050
875	7363	1042
876	7373	1034
877	7382	1025
878	7390	1017
879	7398	1008
880	7410	1001
881	7420	992
882	7430	984
883	7443	976
884	7452	968
885	7463	960
886	7473	952
887	7484	943
888	7492	935
889	7502	927
890	7512	919
891	7522	910
892	7532	902
893	7543	894
894	7553	886
895	7562	877
896	7571	869
897	7580	861
898	7588	852
899	7596	844
900	7606	835
901	7614	827
902	7622	818
903	7631	810
904	7640	802
905	7648	793
906	7658	785
907	7669	777
908	7680	768
909	7690	760
910	7703	752
911	7713	744
912	7722	735
913	7735	727
914	7745	719
915	7758	711
916	7771	703
917	7782	695
918	7792	686
919	7805	678
920	7813	670
921	7821	661
922	7830	653
923	7840	644
924	7849	636
925	7859	628
926	7869	619
927	7877	611
928	7886	602
929	7896	594
930	7906	585
931	7918	577
932	7930	569
933	7939	561
934	7949	552
935	7960	544
936	7971	535
937	7981	527
938	7992	519
939	8002	510
940	8013	502
941	8024	494
942	8034	485
943	8045	477
944	8056	468
945	8067	460
946	8075	451
947	8083	443
948	8092	434
949	8101	426
950	8110	417
951	8118	409
952	8128	400
953	8136	392
954	8145	383
955	8154	375
956	8164	366
957	8174	358
958	8185	349
959	8196	341
960	8206	333
961	8217	324
962	8228	316
963	8237	307
964	8247	299
965	8259	290
966	8270	282
967	8279	273
968	8291	265
969	8302	256
970	8312	248
971	8322	239
972	8331	231
973	8339	222
974	8348	214
975	8357	205
976	8366	196
977	8374	188
978	8382	179
979	8391	171
980	8400	162
981	8408	154
982	8419	145
983	8429	137
984	8439	128
985	8448	119
986	8459	111
987	8469	102
988	8478	94
989	8489	85
990	8499	77
991	8509	68
992	8521	60
993	8530	51
994	8540	42
995	8550	34
996	8561	25
997	8570	17
998	8579	8
999	8587	0
