iter	Logloss
0	0.6374662406
1	0.5909259834
2	0.5436002228
3	0.514168995
4	0.4883430626
5	0.4644865038
6	0.4470790231
7	0.4328448549
8	0.4179676895
9	0.3971983013
10	0.3876199665
11	0.3794439071
12	0.3729155939
13	0.3640318943
14	0.3581741044
15	0.3533167283
16	0.347780971
17	0.3432118053
18	0.3392954729
19	0.3354501651
20	0.3321476626
21	0.3287401674
22	0.3252675056
23	0.3220834077
24	0.3194751892
25	0.3167357339
26	0.3143683563
27	0.3117930813
28	0.3092924325
29	0.3070955305
30	0.3045552987
31	0.3027661456
32	0.3012198542
33	0.2994971869
34	0.2976220127
35	0.2959369582
36	0.2944723065
37	0.2929651678
38	0.2914446392
39	0.2900560128
40	0.2880644077
41	0.2855182256
42	0.284042989
43	0.2822575956
44	0.2806019863
45	0.2792060038
46	0.2777715125
47	0.2758573981
48	0.2743505388
49	0.2732204103
50	0.2720002431
51	0.2704587019
52	0.2693479475
53	0.2682502254
54	0.2672456136
55	0.263949426
56	0.2627945838
57	0.2616963505
58	0.2606172607
59	0.259395115
60	0.2582482129
61	0.2571239151
62	0.256075833
63	0.2548421235
64	0.2539098477
65	0.2531365075
66	0.2520616301
67	0.2511744975
68	0.2501637253
69	0.2490472297
70	0.2481180239
71	0.2472502386
72	0.2466461732
73	0.2458498234
74	0.2450280908
75	0.2439312427
76	0.2432203561
77	0.2417279318
78	0.240964331
79	0.2401851492
80	0.2392011929
81	0.2385424238
82	0.2377827373
83	0.2372748897
84	0.2367928654
85	0.23617669
86	0.2353401218
87	0.234310031
88	0.2335156543
89	0.2326301895
90	0.2320039454
91	0.2311343456
92	0.2305129789
93	0.2296073347
94	0.2289264682
95	0.2283489948
96	0.2274517991
97	0.2269982539
98	0.2264150882
99	0.2259687454
100	0.2253371223
101	0.2249316575
102	0.2242486887
103	0.2234185785
104	0.222850599
105	0.2223600602
106	0.2217919571
107	0.2210994752
108	0.2207611205
109	0.2202704564
110	0.2196670485
111	0.2190186748
112	0.2183780223
113	0.2179151603
114	0.2174162144
115	0.2166822127
116	0.2160385129
117	0.2155453987
118	0.2147521722
119	0.2142713916
120	0.2139874467
121	0.2135013574
122	0.2130350488
123	0.2127566479
124	0.2119812834
125	0.2112853856
126	0.2108149041
127	0.2100573696
128	0.209636386
129	0.2090765316
130	0.2086191989
131	0.2082801317
132	0.2077452156
133	0.2071466715
134	0.2065781658
135	0.2061446155
136	0.20575244
137	0.2054137955
138	0.2049877119
139	0.2044815064
140	0.2038999779
141	0.2033856329
142	0.2031425832
143	0.2027668424
144	0.2009121261
145	0.2006361534
146	0.2000037616
147	0.1996931927
148	0.1994584012
149	0.1989084003
150	0.1984976685
151	0.197922066
152	0.1974830954
153	0.1971854962
154	0.1968879808
155	0.1966432101
156	0.196288674
157	0.1958753307
158	0.1953844044
159	0.1950004744
160	0.1946708915
161	0.1944759979
162	0.193964213
163	0.1936972161
164	0.1933551966
165	0.1929741041
166	0.1926576361
167	0.1921015871
168	0.1916631536
169	0.1912909979
170	0.1909926286
171	0.1906872224
172	0.1903723643
173	0.190033037
174	0.1898529748
175	0.1894328672
176	0.1889595856
177	0.1887482629
178	0.1883876152
179	0.1879499759
180	0.1876804629
181	0.1872416817
182	0.186918104
183	0.1866898937
184	0.1864264735
185	0.1862604086
186	0.1859160311
187	0.1856083862
188	0.1851947096
189	0.1849134453
